"NAME_1","Zone","Region"
"Amnat Charoen",10,"North-Eastern"
"Ang Thong",4,"Central"
"Bangkok Metropolis",0,"Central"
"Bueng Kan",8,"North-Eastern"
"Buri Ram",9,"North-Eastern"
"Chachoengsao",6,"Central"
"Chai Nat",3,"Northern"
"Chaiyaphum",9,"North-Eastern"
"Chanthaburi",6,"Central"
"Chiang Mai",1,"Northern"
"Chiang Rai",1,"Northern"
"Chon Buri",6,"Central"
"Chumphon",11,"Sourthern"
"Kalasin",7,"North-Eastern"
"Kamphaeng Phet",3,"Northern"
"Kanchanaburi",5,"Central"
"Khon Kaen",7,"North-Eastern"
"Krabi",11,"Sourthern"
"Lampang",1,"Northern"
"Lamphun",1,"Northern"
"Loei",8,"North-Eastern"
"Lop Buri",4,"Central"
"Mae Hong Son",1,"Northern"
"Maha Sarakham",7,"North-Eastern"
"Mukdahan",10,"North-Eastern"
"Nakhon Nayok",4,"Central"
"Nakhon Pathom",5,"Central"
"Nakhon Phanom",8,"North-Eastern"
"Nakhon Ratchasima",9,"North-Eastern"
"Nakhon Sawan",3,"Northern"
"Nakhon Si Thammarat",11,"Sourthern"
"Nan",1,"Northern"
"Narathiwat",12,"Sourthern"
"Nong Bua Lam Phu",8,"North-Eastern"
"Nong Khai",8,"North-Eastern"
"Nonthaburi",4,"Central"
"Pathum Thani",4,"Central"
"Pattani",12,"Sourthern"
"Phangnga",11,"Sourthern"
"Phatthalung",12,"Sourthern"
"Phayao",1,"Northern"
"Phetchabun",2,"Northern"
"Phetchaburi",5,"Central"
"Phichit",3,"Northern"
"Phitsanulok",2,"Northern"
"Phra Nakhon Si Ayutthaya",4,"Central"
"Phrae",1,"Northern"
"Phuket",11,"Sourthern"
"Prachin Buri",6,"Central"
"Prachuap Khiri Khan",5,"Central"
"Ranong",11,"Sourthern"
"Ratchaburi",5,"Central"
"Rayong",6,"Central"
"Roi Et",7,"North-Eastern"
"Sa Kaeo",6,"Central"
"Sakon Nakhon",8,"North-Eastern"
"Samut Prakan",6,"Central"
"Samut Sakhon",5,"Central"
"Samut Songkhram",5,"Central"
"Saraburi",4,"Central"
"Satun",12,"Sourthern"
"Si Sa Ket",10,"North-Eastern"
"Sing Buri",4,"Central"
"Songkhla",12,"Sourthern"
"Sukhothai",2,"Northern"
"Suphan Buri",5,"Central"
"Surat Thani",11,"Sourthern"
"Surin",9,"North-Eastern"
"Tak",2,"Northern"
"Trang",12,"Sourthern"
"Trat",6,"Central"
"Ubon Ratchathani",10,"North-Eastern"
"Udon Thani",8,"North-Eastern"
"Uthai Thani",3,"Northern"
"Uttaradit",2,"Northern"
"Yala",12,"Sourthern"
"Yasothon",10,"North-Eastern"
