"","NAME_1","HASC_1"
"1","Amnat Charoen","TH.AC"
"2","Ang Thong","TH.AT"
"3","Bangkok Metropolis","TH.BM"
"4","Bueng Kan","TH.BK"
"5","Buri Ram","TH.BR"
"6","Chachoengsao","TH.CC"
"7","Chai Nat","TH.CN"
"8","Chaiyaphum","TH.CY"
"9","Chanthaburi","TH.CT"
"10","Chiang Mai","TH.CM"
"11","Chiang Rai","TH.CR"
"12","Chon Buri","TH.CB"
"13","Chumphon","TH.CP"
"14","Kalasin","TH.KL"
"15","Kamphaeng Phet","TH.KP"
"16","Kanchanaburi","TH.KN"
"17","Khon Kaen","TH.KK"
"18","Krabi","TH.KR"
"19","Lampang","TH.LG"
"20","Lamphun","TH.LN"
"21","Loei","TH.LE"
"22","Lop Buri","TH.LB"
"23","Mae Hong Son","TH.MH"
"24","Maha Sarakham","TH.MS"
"25","Mukdahan","TH.MD"
"26","Nakhon Nayok","TH.NN"
"27","Nakhon Pathom","TH.NP"
"28","Nakhon Phanom","TH.NF"
"29","Nakhon Ratchasima","TH.NR"
"30","Nakhon Sawan","TH.NS"
"31","Nakhon Si Thammarat","TH.NT"
"32","Nan","TH.NA"
"33","Narathiwat","TH.NW"
"34","Nong Bua Lam Phu","TH.NB"
"35","Nong Khai","TH.NK"
"36","Nonthaburi","TH.NO"
"37","Pathum Thani","TH.PT"
"38","Pattani","TH.PI"
"39","Phangnga","TH.PG"
"40","Phatthalung","TH.PL"
"41","Phayao","TH.PY"
"42","Phetchabun","TH.PH"
"43","Phetchaburi","TH.PE"
"44","Phichit","TH.PC"
"45","Phitsanulok","TH.PS"
"46","Phra Nakhon Si Ayutthaya","TH.PA"
"47","Phrae","TH.PR"
"48","Phuket","TH.PU"
"49","Prachin Buri","TH.PB"
"50","Prachuap Khiri Khan","TH.PK"
"51","Ranong","TH.RN"
"52","Ratchaburi","TH.RT"
"53","Rayong","TH.RY"
"54","Roi Et","TH.RE"
"55","Sa Kaeo","TH.SK"
"56","Sakon Nakhon","TH.SN"
"57","Samut Prakan","TH.SP"
"58","Samut Sakhon","TH.SS"
"59","Samut Songkhram","TH.SM"
"60","Saraburi","TH.SR"
"61","Satun","TH.SA"
"62","Si Sa Ket","TH.SI"
"63","Sing Buri","TH.SB"
"64","Songkhla","TH.SG"
"65","Sukhothai","TH.SO"
"66","Suphan Buri","TH.SH"
"67","Surat Thani","TH.ST"
"68","Surin","TH.SU"
"69","Tak","TH.TK"
"70","Trang","TH.TG"
"71","Trat","TH.TT"
"72","Ubon Ratchathani","TH.UR"
"73","Udon Thani","TH.UN"
"74","Uthai Thani","TH.UT"
"75","Uttaradit","TH.UD"
"76","Yala","TH.YL"
"77","Yasothon","TH.YS"
